subject,trial,visual_size,visual_brightness,audio_pitch,audio_location,button,RT,LeftAnsMark
000,532,2,2,1,5,2,417,right
000,533,2,2,1,4,2,394,right
000,534,1,1,2,3,1,351,left
000,535,0,0,2,1,1,389,left
000,536,0,0,2,3,1,442,left
000,537,1,2,1,1,1,352,left
000,538,0,0,2,2,1,352,left
000,539,2,2,2,5,2,360,right
000,540,1,2,2,5,2,281,right
000,541,1,1,1,2,1,333,left
000,542,2,2,1,3,1,464,left
000,543,2,2,1,4,1,297,left
000,544,2,2,1,5,1,414,left
000,545,1,1,2,2,1,294,left
000,546,1,2,1,5,2,380,right
000,547,2,2,1,2,1,296,left
000,548,1,1,2,2,1,303,left
000,549,1,2,2,4,2,326,right
000,550,1,1,1,4,1,393,left
000,551,2,2,2,3,1,414,left
000,552,2,1,2,4,1,415,left
000,553,2,2,2,5,1,296,left
000,554,0,0,2,4,2,358,right
000,555,2,1,2,2,1,375,left
000,556,0,0,2,3,2,458,right
000,557,1,2,1,5,1,385,left
000,558,2,1,2,5,1,663,left
000,559,1,1,1,4,1,549,left
000,560,2,2,2,4,2,537,right
000,561,1,1,2,5,1,548,left
000,562,2,2,1,2,1,640,left
000,563,2,1,2,3,1,451,left
000,564,0,0,2,4,2,513,right
000,565,1,1,1,2,1,441,left
000,566,0,0,2,5,2,430,right
000,567,2,1,1,1,1,490,left
000,568,0,0,2,5,2,455,right
000,569,2,1,1,5,2,511,right
000,570,1,2,2,1,1,326,left
000,571,2,2,2,4,2,394,right
000,572,0,0,1,4,1,464,left
000,573,0,0,2,3,1,609,left
000,574,1,2,2,3,2,304,right
000,575,1,1,2,1,1,321,left
000,576,1,1,1,3,1,547,left
000,577,1,2,1,2,1,401,left
000,578,2,1,2,1,1,392,left
000,579,2,1,1,4,1,430,left
000,580,2,1,1,1,1,324,left
000,581,1,2,1,4,1,385,left
000,582,1,1,1,5,1,389,left
000,583,0,0,1,3,1,379,left
000,584,2,1,1,4,1,405,left
000,585,1,1,1,3,1,510,left
000,586,1,1,1,4,1,341,left
000,587,1,1,2,4,2,428,right
000,588,0,0,1,1,1,575,left
000,589,1,2,1,4,2,435,right
000,590,2,2,1,3,1,334,left
000,591,1,2,1,3,2,395,right
000,592,2,1,2,5,2,361,right
