subject,trial,visual_size,visual_brightness,audio_pitch,audio_location,button,RT,LeftAnsMark
00,1,0,0,1,4,2,668,right
00,2,1,2,2,1,1,752,left
00,3,2,1,1,2,1,769,left
00,4,2,1,2,2,2,783,right
00,5,0,0,2,5,2,380,right
00,6,2,1,1,3,1,638,left
00,7,1,2,2,2,1,527,left
00,8,1,2,1,1,1,473,left
00,9,1,1,1,1,1,552,left
00,10,2,1,1,2,1,438,left
00,11,1,1,2,1,1,665,left
00,12,0,0,1,1,1,431,left
00,13,1,2,1,5,2,505,right
00,14,1,1,1,2,1,427,left
00,15,2,2,1,4,2,340,right
00,16,0,0,1,1,1,358,left
00,17,0,0,2,2,2,1004,right
00,18,2,2,1,1,1,393,left
00,19,1,2,1,3,2,405,right
00,20,2,2,2,1,1,650,left
00,21,0,0,1,3,2,451,right
00,22,1,1,1,3,1,524,left
00,23,0,0,2,2,2,500,right
00,24,1,2,2,4,2,449,right
00,25,0,0,2,5,2,339,right
00,26,0,0,1,5,2,662,right
00,27,1,1,2,3,2,651,right
00,28,1,1,2,1,1,412,left
00,29,0,0,1,3,2,912,right
00,30,0,0,2,4,2,633,right
00,31,2,2,2,4,1,450,left
00,32,1,2,1,3,2,743,right
00,33,1,2,1,3,1,708,left
00,34,1,2,2,5,2,738,right
00,35,2,2,1,1,1,442,left
00,36,2,1,2,2,1,380,left
00,37,2,1,2,5,2,398,right
00,38,2,2,2,2,1,315,left
00,39,1,2,1,4,2,380,right
00,40,0,0,2,2,1,387,left
00,41,2,1,1,3,2,566,right
00,42,2,1,2,4,2,372,right
00,43,1,1,1,3,1,469,left
00,44,1,2,1,2,1,349,left
00,45,1,1,1,5,1,289,left
00,46,2,2,1,5,2,366,right
00,47,2,2,2,3,1,477,left
00,48,0,0,2,4,1,339,left
00,49,2,1,2,2,1,327,left
00,50,0,0,2,1,1,306,left
00,51,1,2,1,1,1,349,left
00,52,2,1,2,4,2,257,right
00,53,1,2,2,1,1,277,left
00,54,2,1,1,1,1,334,left
00,55,2,2,2,2,1,354,left
00,56,1,1,1,3,2,359,right
00,57,2,1,1,5,2,245,right
00,58,1,2,1,5,2,297,right
00,59,2,2,2,4,1,470,left
00,60,1,2,2,3,1,465,left
00,61,0,0,2,5,2,465,right
00,62,2,1,2,5,2,388,right
