subject,trial,visual_size,visual_brightness,audio_pitch,audio_location,button,RT,LeftAnsMark
,1,0,0,1,4,2,1482,right
,2,1,2,2,1,1,691,left
,3,2,1,1,2,2,484,right
,4,2,1,2,2,2,534,right
,5,0,0,2,5,2,564,right
,6,2,1,1,3,2,410,right
,7,1,2,2,2,2,516,right
,8,1,2,1,1,2,632,right
,9,1,1,1,1,1,491,left
,10,2,1,1,2,2,604,right
,11,1,1,2,1,2,588,right
,12,0,0,1,1,1,466,left
,13,1,2,1,5,2,383,right
,14,1,1,1,2,
